ID,event,dir,audio_volume,visual_type,audio_angle,audio_type,answer,reaction_time,valid
402,21,-1,0,0,-10,0,0,533,True
402,22,1,0,0,-30,0,0,677,True
402,23,-1,0,0,15,0,1,611,True
402,24,1,0,0,20,0,1,1321,True
402,25,-1,0,0,20,0,1,644,True
402,26,1,0,0,-5,0,0,611,True
402,27,-1,0,0,0,0,1,733,True
402,28,1,0,0,-10,0,0,733,True
402,29,-1,0,0,5,0,1,622,True
402,30,1,0,0,20,0,1,521,True
402,31,-1,0,0,20,0,1,588,True
402,32,1,0,0,-20,0,0,833,True
402,33,-1,0,0,-20,0,0,533,True
402,34,1,0,0,10,0,1,599,True
402,35,-1,0,0,-10,0,0,866,True
402,36,1,0,0,-15,0,0,654,True
402,37,-1,0,0,15,0,1,656,True
402,38,1,0,0,-30,0,0,656,True
402,39,-1,0,0,-30,0,0,533,True
402,40,1,0,0,10,0,1,533,True
402,41,-1,0,0,-15,0,0,600,True
402,42,1,0,0,10,0,1,543,True
402,43,-1,0,0,-5,0,1,665,True
402,44,1,0,0,5,0,1,489,True
402,45,-1,0,0,-5,0,1,589,True
402,46,1,0,0,0,0,1,633,True
402,47,-1,0,0,30,0,1,510,True
402,48,1,0,0,30,0,1,488,True
402,49,-1,0,0,0,0,0,566,True
402,50,1,0,0,-10,0,0,522,True
402,51,-1,0,0,30,0,1,666,True
402,52,1,0,0,-15,0,0,544,True
402,53,-1,0,0,-5,0,0,566,True
402,54,1,0,0,0,0,1,633,True
402,55,-1,0,0,-30,0,0,511,True
402,56,1,0,0,-5,0,0,754,True
402,57,-1,0,0,30,0,1,522,True
402,58,1,0,0,-20,0,0,732,True
402,59,-1,0,0,-30,0,0,455,True
402,60,1,0,0,30,0,1,578,True
402,61,-1,0,0,-15,0,0,556,True
402,62,1,0,0,15,0,1,500,True
402,63,-1,0,0,-20,0,0,465,True
402,64,1,0,0,-15,0,0,733,True
402,65,-1,0,0,-15,0,0,566,True
402,66,1,0,0,30,0,1,555,True
402,67,-1,0,0,15,0,1,522,True
402,68,1,0,0,20,0,1,500,True
402,69,-1,0,0,10,0,1,489,True
403,4,1,0,0,5,0,0,2576,True
403,5,-1,0,0,0,0,1,2509,True
403,6,1,0,0,-10,0,0,2144,True
403,7,-1,0,0,-15,0,0,2165,True
403,8,1,0,0,-15,0,0,2256,True
403,9,-1,0,0,-20,0,0,2344,True
403,10,1,0,0,15,0,1,1888,True
403,11,-1,0,0,0,0,0,1632,True
403,12,1,0,0,5,0,1,4531,True
403,13,-1,0,0,20,0,1,2732,True
403,14,1,0,0,-20,0,0,2176,True
403,15,-1,0,0,10,0,1,2066,True
403,16,1,0,0,15,0,1,1721,True
403,17,-1,0,0,30,0,1,1854,True
403,18,1,0,0,-30,0,0,9406,True
403,19,-1,0,0,20,0,1,1887,True
403,20,1,0,0,-20,0,0,1655,True
403,21,-1,0,0,0,0,1,2465,True
403,22,1,0,0,-30,0,0,1966,True
403,23,-1,0,0,-5,0,1,1955,True
403,24,1,0,0,30,0,1,1799,True
403,25,-1,0,0,-10,0,0,3320,True
403,26,1,0,0,30,0,1,1632,True
403,27,-1,0,0,15,0,1,1856,True
403,28,1,0,0,-5,0,0,1945,True
403,29,-1,0,0,30,0,1,1965,True
403,30,1,0,0,0,0,0,7307,True
403,31,-1,0,0,5,0,1,3376,True
403,32,1,0,0,-10,0,0,1877,True
403,33,-1,0,0,15,0,1,1532,True
403,34,1,0,0,20,0,1,1754,True
403,35,-1,0,0,20,0,0,8662,True
403,36,1,0,0,15,0,1,1321,True
403,37,-1,0,0,15,0,1,1632,True
403,38,1,0,0,-5,0,0,1522,True
403,39,-1,0,0,30,0,1,1766,True
403,40,1,0,0,-30,0,0,1155,True
403,41,-1,0,0,-5,0,1,2010,True
403,42,1,0,0,10,0,0,3067,True
403,43,-1,0,0,-30,0,0,1410,True
403,44,1,0,0,10,0,1,1777,True
403,45,-1,0,0,10,0,1,1600,True
403,46,1,0,0,0,0,0,1588,True
403,47,-1,0,0,-20,0,0,1011,True
403,48,1,0,0,-20,0,0,1511,True
403,49,-1,0,0,-10,0,0,3577,True
403,50,1,0,0,20,0,1,1255,True
403,51,-1,0,0,-10,0,0,1433,True
403,52,1,0,0,20,0,1,1178,True
403,53,-1,0,0,5,0,0,1588,True
403,54,1,0,0,-5,0,0,2543,True
403,55,-1,0,0,10,0,1,1599,True
403,56,1,0,0,0,0,0,1811,True
403,57,-1,0,0,-15,0,0,1355,True
403,58,1,0,0,10,0,1,1399,True
403,59,-1,0,0,-15,0,0,1344,True
403,60,1,0,0,30,0,1,1310,True
403,61,-1,0,0,-30,0,0,977,True
403,62,1,0,0,-15,0,0,7574,True
403,63,-1,0,0,5,0,1,2033,True
403,64,1,0,0,-15,0,0,1344,True
403,65,-1,0,0,-5,0,0,1021,True
403,66,1,0,0,-10,0,0,1265,True
403,67,-1,0,0,-30,0,0,1200,True
403,68,1,0,0,5,0,0,1576,True
